datetime,open,high,low,close,volume
2023-06-28,0.05,1.98,0.05,0.5228,190413300.0
2023-06-29,0.5234,0.585,0.4115,0.4188,124514185.0
2023-06-30,0.4193,0.45,0.3841,0.4092,111314528.0
2023-07-01,0.409,0.4544,0.3947,0.433,54125286.0
2023-07-02,0.4329,0.4338,0.3898,0.4107,30111782.0
2023-07-03,0.4105,0.4523,0.4102,0.4317,44607151.0
2023-07-04,0.4317,0.5628,0.427,0.508,112077747.0
2023-07-05,0.508,0.5102,0.4072,0.4183,70231886.0
2023-07-06,0.4183,0.4384,0.391,0.4013,44187187.0
2023-07-07,0.4011,0.4211,0.3935,0.4139,29074583.0
2023-07-08,0.4137,0.4375,0.408,0.4223,33966147.0
2023-07-09,0.4224,0.4384,0.4044,0.4097,23527323.0
2023-07-10,0.4102,0.4113,0.3564,0.3698,52482698.0
2023-07-11,0.3703,0.3703,0.3508,0.3594,28826215.0
2023-07-12,0.3591,0.3659,0.33,0.3434,32221058.0
2023-07-13,0.3438,0.3767,0.3368,0.3696,47898666.0
2023-07-14,0.3692,0.3886,0.35,0.3645,34692593.0
2023-07-15,0.3647,0.3885,0.3554,0.3671,33220334.0
2023-07-16,0.367,0.3756,0.342,0.348,16733852.0
2023-07-17,0.3481,0.3604,0.339,0.3564,22316297.0
2023-07-18,0.3566,0.3829,0.3265,0.3368,38219353.0
2023-07-19,0.3374,0.3458,0.3207,0.3261,21174807.0
2023-07-20,0.3262,0.3372,0.3204,0.33,13931216.0
2023-07-21,0.3299,0.3388,0.3272,0.3351,15180852.0
2023-07-22,0.3353,0.3431,0.3283,0.3385,10233712.0
2023-07-23,0.3386,0.3448,0.325,0.3276,10845782.0
2023-07-24,0.3277,0.3305,0.286,0.2901,21668302.0
2023-07-25,0.29,0.3093,0.2845,0.2948,16193329.0
2023-07-26,0.2949,0.317,0.2944,0.3089,23518366.0
2023-07-27,0.3088,0.3175,0.298,0.3067,13823423.0
2023-07-28,0.3067,0.3131,0.2993,0.3051,7186595.0
2023-07-29,0.3051,0.3078,0.3005,0.3069,5160458.0
2023-07-30,0.3068,0.3119,0.288,0.296,8053579.0
2023-07-31,0.2961,0.3263,0.2951,0.3071,31745626.0
2023-08-01,0.3071,0.3071,0.2865,0.305,14892534.0
2023-08-02,0.3051,0.31,0.2921,0.2962,9451312.0
2023-08-03,0.296,0.3009,0.2901,0.2945,5261117.0
2023-08-04,0.2945,0.2985,0.2896,0.2922,5613449.0
2023-08-05,0.2922,0.293,0.2622,0.2666,17249616.0
2023-08-06,0.2668,0.31,0.2646,0.3073,29888724.0
2023-08-07,0.3072,0.3194,0.283,0.2933,32265318.0
2023-08-08,0.2933,0.3306,0.2837,0.3022,46679974.0
2023-08-09,0.3022,0.3125,0.2844,0.2851,20468203.0
2023-08-10,0.2851,0.2968,0.2781,0.2824,18804959.0
2023-08-11,0.2823,0.2835,0.2766,0.2808,9837079.0
2023-08-12,0.2808,0.2862,0.28,0.2841,8185669.0
2023-08-13,0.2843,0.2951,0.2825,0.2898,11353246.0
2023-08-14,0.2896,0.296,0.2841,0.2886,10270146.0
2023-08-15,0.2886,0.289,0.2407,0.2549,16765546.0
2023-08-16,0.2548,0.2549,0.2202,0.2355,24584866.0
2023-08-17,0.2356,0.2361,0.19,0.2059,22214991.0
2023-08-18,0.2057,0.2207,0.2044,0.2182,13952781.0
2023-08-19,0.2182,0.2245,0.2131,0.2193,8703070.0
2023-08-20,0.2192,0.2239,0.216,0.222,6216738.0
2023-08-21,0.2221,0.2253,0.2057,0.2161,8579602.0
2023-08-22,0.2162,0.2171,0.2034,0.2137,6287960.0
2023-08-23,0.2137,0.2242,0.2118,0.2217,6884660.0
2023-08-24,0.2217,0.2224,0.2114,0.2146,9695558.0
2023-08-25,0.2147,0.2147,0.206,0.208,4938523.0
2023-08-26,0.2079,0.2149,0.2068,0.2085,3564590.0
2023-08-27,0.2085,0.2106,0.2052,0.21,3814521.0
2023-08-28,0.21,0.2111,0.1939,0.2022,9245488.0
2023-08-29,0.2022,0.2298,0.19,0.2238,22299958.0
2023-08-30,0.2239,0.2389,0.2134,0.2359,57699226.0
2023-08-31,0.2359,0.2429,0.21,0.2162,53275231.0
2023-09-01,0.2163,0.2737,0.2117,0.249,93427870.0
2023-09-02,0.2489,0.253,0.2272,0.2344,49644916.0
2023-09-03,0.2344,0.2422,0.2281,0.2325,16794737.0
2023-09-04,0.2325,0.2424,0.222,0.2314,51898201.0
2023-09-05,0.2315,0.2371,0.2218,0.2232,16883085.0
2023-09-06,0.2232,0.2331,0.2183,0.2313,16216074.0
2023-09-07,0.2314,0.2341,0.2224,0.2289,10533118.0
2023-09-08,0.2292,0.24,0.2264,0.2323,17810806.0
2023-09-09,0.2322,0.2324,0.2216,0.2223,6559121.0
2023-09-10,0.2225,0.2225,0.2015,0.2094,12552203.0
2023-09-11,0.2095,0.2117,0.197,0.2042,12590353.0
2023-09-12,0.2044,0.2135,0.2032,0.2058,9350846.0
2023-09-13,0.2055,0.2122,0.2016,0.2089,6639162.0
2023-09-14,0.209,0.2134,0.2062,0.2109,7450698.0
2023-09-15,0.2108,0.2196,0.2078,0.2178,8452923.0
2023-09-16,0.218,0.2668,0.2176,0.2333,82571351.0
2023-09-17,0.2336,0.2346,0.2205,0.2265,16179035.0
2023-09-18,0.2264,0.2473,0.2206,0.2411,25622569.0
2023-09-19,0.2408,0.2538,0.237,0.249,19447849.0
2023-09-20,0.2491,0.2524,0.2353,0.247,12516843.0
2023-09-21,0.2468,0.251,0.2273,0.2288,10947815.0
2023-09-22,0.229,0.2365,0.2238,0.2349,7423854.0
2023-09-23,0.235,0.2379,0.2221,0.2262,8399907.0
2023-09-24,0.2263,0.2276,0.22,0.2212,5329285.0
2023-09-25,0.2209,0.2319,0.2174,0.2277,6943628.0
2023-09-26,0.2275,0.2356,0.227,0.2355,8769042.0
2023-09-27,0.2356,0.2548,0.231,0.2418,21200155.0
2023-09-28,0.2419,0.293,0.2407,0.2726,59316215.0
2023-09-29,0.2727,0.2889,0.2611,0.2804,46766357.0
2023-09-30,0.2805,0.2857,0.2666,0.2836,18586631.0
2023-10-01,0.2836,0.3,0.2779,0.2963,23108602.0
2023-10-02,0.2964,0.3035,0.2657,0.281,18690765.0
2023-10-03,0.2811,0.2865,0.2504,0.2521,17592069.0
2023-10-04,0.2524,0.254,0.2355,0.2414,20386269.0
2023-10-05,0.2412,0.249,0.229,0.2318,17156013.0
2023-10-06,0.2319,0.243,0.2268,0.2377,10481605.0
2023-10-07,0.2378,0.2418,0.2345,0.2372,6711765.0
2023-10-08,0.2371,0.2386,0.2275,0.2337,6937764.0
2023-10-09,0.2335,0.2363,0.2128,0.2232,10455484.0
2023-10-10,0.2232,0.2265,0.218,0.2215,5392669.0
2023-10-11,0.2215,0.2236,0.215,0.2221,7932280.0
2023-10-12,0.2221,0.2224,0.2127,0.217,5415693.0
2023-10-13,0.2171,0.221,0.2134,0.2167,6724348.0
2023-10-14,0.2168,0.2191,0.2153,0.217,4616272.0
2023-10-15,0.2171,0.2244,0.2152,0.2232,6337410.0
2023-10-16,0.223,0.2397,0.2216,0.2288,20686559.0
2023-10-17,0.2288,0.2347,0.2148,0.2165,15360091.0
2023-10-18,0.2165,0.219,0.2034,0.2063,10366905.0
2023-10-19,0.2062,0.2089,0.198,0.2004,7700146.0
2023-10-20,0.2004,0.2125,0.1993,0.2078,8372876.0
2023-10-21,0.208,0.2225,0.206,0.2186,7507556.0
2023-10-22,0.219,0.2238,0.2112,0.2236,7543848.0
2023-10-23,0.2235,0.2386,0.2194,0.2381,12658132.0
2023-10-24,0.2381,0.2526,0.2303,0.2435,31000272.0
2023-10-25,0.2431,0.2827,0.2379,0.2566,39337980.0
2023-10-26,0.256,0.2667,0.2243,0.2277,47872000.0
2023-10-27,0.2277,0.2315,0.2185,0.2237,39702519.0
2023-10-28,0.2235,0.2342,0.2232,0.2316,20403792.0
2023-10-29,0.2318,0.2403,0.2256,0.2348,18619717.0
2023-10-30,0.235,0.2465,0.2322,0.2412,24864155.0
2023-10-31,0.2412,0.2466,0.224,0.2338,29342875.0
2023-11-01,0.2337,0.2382,0.2185,0.2371,23283707.0
2023-11-02,0.2372,0.2438,0.2221,0.2266,19544365.0
2023-11-03,0.2266,0.2266,0.2156,0.2244,17620383.0
2023-11-04,0.2246,0.2335,0.2214,0.2306,18658725.0
2023-11-05,0.2305,0.2418,0.2235,0.2357,24049519.0
