datetime,open,high,low,close,volume
2021-08-09,2.481,3.88,2.481,3.142,56364788.8
2021-08-16,3.139,3.666,2.939,3.131,42091329.2
2021-08-23,3.13,3.34,2.65,2.887,35496465.0
2021-08-30,2.887,4.677,2.78,4.247,129357367.0
2021-09-06,4.244,6.193,2.88,5.144,133848200.0
2021-09-13,5.142,6.495,4.502,5.381,99087726.3
2021-09-20,5.379,5.396,3.75,4.394,83297474.2
2021-09-27,4.395,4.699,3.881,4.502,48409997.8
2021-10-04,4.501,4.942,4.129,4.157,47660141.6
2021-10-11,4.157,4.58,3.95,4.099,31656002.4
2021-10-18,4.1,4.78,3.976,4.598,34094850.1
2021-10-25,4.598,5.335,4.288,4.461,49127741.2
2021-11-01,4.463,4.7,4.078,4.394,34244574.1
2021-11-08,4.395,6.684,4.165,5.339,158526596.7
2021-11-15,5.338,5.65,4.097,4.47,62621080.2
2021-11-22,4.466,5.5,4.291,4.784,72401367.6
2021-11-29,4.783,4.917,3.348,3.517,44855320.0
2021-12-06,3.519,4.155,3.215,3.646,34279737.2
2021-12-13,3.644,3.723,3.03,3.186,25504399.5
2021-12-20,3.186,3.87,2.951,3.82,30471173.5
2021-12-27,3.817,4.22,3.298,3.778,32012621.0
2022-01-03,3.777,4.248,3.162,3.339,53431040.2
2022-01-10,3.34,3.7,2.993,3.494,29543129.2
2022-01-17,3.496,3.688,2.183,2.444,51103982.8
2022-01-24,2.443,2.559,2.05,2.264,34410761.0
2022-01-31,2.269,3.188,2.189,3.028,40779379.1
2022-02-07,3.028,3.192,2.36,2.368,26890489.7
2022-02-14,2.369,3.014,2.252,2.481,41933469.3
2022-02-21,2.481,2.609,1.75,1.949,52301773.8
2022-02-28,1.95,2.277,1.903,1.912,41045886.0
2022-03-07,1.913,1.976,1.621,1.634,33363616.1
2022-03-14,1.633,2.388,1.584,2.116,109275532.6
2022-03-21,2.116,2.839,2.035,2.777,87398254.7
2022-03-28,2.78,2.868,2.487,2.796,54134653.9
2022-04-04,2.793,3.54,2.692,2.978,124434471.3
2022-04-11,2.977,2.977,2.261,2.273,65888978.8
2022-04-18,2.273,2.6,2.152,2.177,48999776.1
