datetime,open,high,low,close,volume
2022-05-30,1.44,2.2,1.039,1.165,530336206.55
2022-06-06,1.166,1.368,0.625,0.645,521213957.23
2022-06-13,0.644,0.668,0.396,0.509,391126582.35
2022-06-20,0.509,0.657,0.459,0.539,329176162.03
2022-06-27,0.539,0.615,0.505,0.522,186764138.84
2022-07-04,0.523,0.627,0.513,0.533,103567904.32
2022-07-11,0.533,0.615,0.405,0.581,194859886.01
2022-07-18,0.581,0.976,0.563,0.919,647432994.34
2022-07-25,0.919,1.97,0.746,1.583,646060597.55
2022-08-01,1.582,2.243,1.362,1.911,519951671.61
2022-08-08,1.911,2.077,1.374,1.438,390154218.55
2022-08-15,1.438,1.6,1.09,1.176,351063881.26
2022-08-22,1.178,1.355,0.989,1.054,263472699.32
2022-08-29,1.054,1.308,1.026,1.175,241564073.31
2022-09-05,1.175,1.479,1.064,1.401,273966917.64
2022-09-12,1.402,1.43,0.901,0.93,244152130.12
2022-09-19,0.93,1.064,0.862,0.905,199209162.8
2022-09-26,0.904,0.991,0.832,0.843,88977197.19
2022-10-03,0.843,0.885,0.82,0.844,55676223.35
2022-10-10,0.844,0.852,0.647,0.699,62507051.22
2022-10-17,0.698,0.88,0.634,0.83,86435039.07
2022-10-24,0.831,1.233,0.793,1.042,299044301.32
2022-10-31,1.043,1.419,0.944,1.284,230966016.77
2022-11-07,1.284,1.39,0.761,0.903,355740849.54
2022-11-14,0.902,0.986,0.835,0.848,118057551.24
2022-11-21,0.848,0.972,0.798,0.884,99982562.64
2022-11-28,0.883,1.144,0.837,1.071,118037844.16
2022-12-05,1.07,1.12,0.99,1.015,97510508.66
2022-12-12,1.014,1.198,0.896,0.925,157364634.34
2022-12-19,0.926,0.983,0.865,0.934,83526936.28
2022-12-26,0.935,0.964,0.881,0.924,57922314.53
2023-01-02,0.923,1.279,0.91,1.263,131457086.92
2023-01-09,1.263,1.889,1.198,1.821,307546132.41
2023-01-16,1.82,2.502,1.574,2.181,252944221.34
2023-01-23,2.181,2.555,1.925,2.376,267393678.52
2023-01-30,2.377,3.229,2.02,2.953,262895535.43
2023-02-06,2.952,3.2,2.288,2.333,214986675.79
2023-02-13,2.334,3.011,2.074,2.579,226847857.89
2023-02-20,2.579,3.29,2.339,3.009,298923645.26
2023-02-27,3.009,3.1,2.255,2.431,146250289.53
2023-03-06,2.431,2.589,1.769,2.345,254906812.49
2023-03-13,2.346,2.96,2.245,2.693,302525803.39
2023-03-20,2.693,2.739,2.134,2.263,142051799.59
2023-03-27,2.262,2.346,2.016,2.202,127625611.29
2023-04-03,2.202,2.387,2.087,2.281,71037811.08
2023-04-10,2.281,2.83,2.178,2.691,107693019.79
2023-04-17,2.691,2.744,2.136,2.203,123548033.13
2023-04-24,2.203,2.349,2.055,2.167,62391889.15
2023-05-01,2.168,2.191,1.791,1.887,69614139.04
2023-05-08,1.886,1.916,1.482,1.634,84687668.46
2023-05-15,1.634,1.876,1.6,1.637,124206345.79
2023-05-22,1.637,1.72,1.537,1.642,66808127.91
2023-05-29,1.642,1.67,1.345,1.48,150440087.96
2023-06-05,1.478,1.55,0.895,1.093,240360377.57
2023-06-12,1.093,1.196,1.053,1.1,123755467.62
2023-06-19,1.099,1.507,1.082,1.332,267951842.51
2023-06-26,1.332,1.383,1.16,1.333,159449082.91
2023-07-03,1.333,1.377,1.169,1.214,94448267.41
2023-07-10,1.214,1.645,1.098,1.491,227592401.12
2023-07-17,1.491,1.659,1.405,1.581,172800270.2
2023-07-24,1.581,1.633,1.403,1.624,135572479.85
2023-07-31,1.624,1.771,1.554,1.702,203508823.34
2023-08-07,1.701,1.829,1.522,1.54,156363187.21
2023-08-14,1.539,1.577,1.211,1.473,167871322.64
2023-08-21,1.474,1.627,1.434,1.453,141331732.17
2023-08-28,1.452,1.536,1.283,1.336,110515390.58
2023-09-04,1.336,1.37,1.205,1.27,61441835.04
2023-09-11,1.269,1.438,1.214,1.372,128069943.23
2023-09-18,1.372,1.423,1.253,1.263,88308093.83
2023-09-25,1.263,1.424,1.234,1.412,81285283.34
2023-10-02,1.412,1.467,1.255,1.281,99671772.83
2023-10-09,1.281,1.288,1.16,1.21,87217752.03
2023-10-16,1.209,1.317,1.151,1.316,82995333.54
2023-10-23,1.316,1.478,1.272,1.413,131152203.76
2023-10-30,1.413,1.563,1.319,1.54,132610801.05
2023-11-06,1.541,1.85,1.379,1.821,214184163.46
2023-11-13,1.82,1.927,1.602,1.778,201020039.75
2023-11-20,1.779,1.877,1.569,1.815,113728365.92
2023-11-27,1.815,1.816,1.63,1.719,95791018.29
2023-12-04,1.719,2.305,1.666,2.168,334703139.06
2023-12-11,2.169,2.497,1.91,2.086,319084955.79
2023-12-18,2.086,3.842,1.957,3.566,419560010.01
2023-12-25,3.567,4.183,3.01,3.706,393392872.55
2024-01-01,3.707,4.117,2.998,3.171,288459625.09
2024-01-08,3.17,4.284,2.907,3.479,309341944.24
